sampleID,d18O,dist
QG1-7189-2,1.81,0.051
QG1-7189-2,1.92,0.102
QG1-7189-2,1.97,0.153
QG1-7189-2,2.23,0.204
QG1-7189-2,2.22,0.255
QG1-7189-2,2.14,0.306
QG1-7189-2,2.18,0.357
QG1-7189-2,2.66,0.408
QG1-7189-2,3.26,0.51
QG1-7189-2,3.14,0.561
QG1-7189-2,2.66,0.663
QG1-7189-2,2.1,0.714
QG1-7189-2,1.81,0.765
QG1-7189-2,1.77,0.827
QG1-7189-2,1.84,0.889
QG1-7189-2,2.39,0.951
QG1-7189-2,2.2,1.013
QG1-7189-2,2.36,1.137
QG1-7189-2,2.47,1.199
QG1-7189-2,2.82,1.261
QG1-7189-2,3.24,1.323
QG1-7189-2,3.5,1.385
QG1-7189-2,3.67,1.571
QG1-7189-2,3.5,1.757
QG1-7189-2,3.22,1.881
QG1-7189-2,3.01,2.047
QG1-7189-2,2.69,2.13
QG1-7189-2,2.93,2.213
QG1-7189-2,2.38,2.379
QG1-7189-2,2.18,2.462
QG1-7189-2,1.81,2.545
QG1-7189-2,1.99,2.628
QG1-7189-2,1.94,2.711
QG1-7189-2,1.63,2.794
QG1-7189-2,1.81,2.877
QG1-7189-2,1.62,2.96
QG1-7189-2,1.55,3.043
QG1-7189-2,1.37,3.126
QG1-7189-2,1.03,3.209
QG1-7189-2,1.69,3.292
QG1-7189-2,1.43,3.375
QG1-7189-2,1.68,3.458
QG1-7189-2,2.17,3.624
QG1-7189-2,1.95,3.707
QG1-7189-2,2.14,3.79
QG1-7189-2,2.39,3.873
QG1-7189-2,2.52,3.956
QG1-7189-2,2.6,4.205
QG1-7189-2,2.33,4.288
QG1-7189-2,2.63,4.454
QG1-7189-2,2.52,4.537
QG1-7189-2,2.7,4.62
QG1-7189-2,2.73,4.703
QG1-7189-2,3.11,4.786
QG1-7189-2,2.99,4.869
QG1-7246-1,2.6,0.882
QG1-7246-1,1.97,1.076
QG1-7246-1,1.76,1.27
QG1-7246-1,2.16,1.437
QG1-7246-1,3.1,1.604
QG1-7246-1,3.35,1.771
QG1-7246-1,3.33,1.938
QG1-7246-1,2.62,2.105
QG1-7246-1,2.08,2.272
QG1-7246-1,2.39,2.439
QG1-7246-1,2.66,2.606
QG1-7246-1,3.49,2.773
QG1-7246-1,3.64,2.94
QG1-7246-1,2.35,3.105
QG1-7246-1,2.34,3.27
QG1-7246-1,3.13,3.435
QG1-7246-1,3.4,3.6
QG1-7246-1,3.26,3.765
QG1-7246-1,2.77,3.93
QG1-7246-1,2.56,4.095
QG1-7246-1,1.86,4.26
QG1-7246-1,2.08,4.417
QG1-7246-1,2.09,4.574
QG1-7246-1,3.12,4.731
QG1-7246-1,3.02,4.888
QG1-7246-1,2.12,5.045
QG1-7246-1,2.57,5.202
QG1-7246-1,3.13,5.359
QG1-7246-1,3.52,5.516
QG1-7246-1,3,5.673
QG1-7246-1,2.75,5.83
QG1-7246-1,2.67,6.016
QG1-7246-1,2.23,6.202
QG1-7246-1,2.21,6.388
QG1-7246-1,2.41,6.574
QG1-7246-1,3.45,6.76
QG1-7246-1,4.05,6.946
QG1-7246-1,3.24,7.318
QG1-7246-1,2.39,7.504
QG1-7246-1,2.41,7.69
QG1-7246-1,3.19,8.074
QG1-7246-1,3.17,8.266
QG1-7246-1,2.54,8.458
QG1-7246-1,2.14,8.65
QG1-7246-1,2.01,8.842
QG1-7246-1,2.65,9.034
QG1-7246-1,3.69,9.226
QG1-7246-1,3.46,9.394
QG1-7246-1,3.05,9.562
QG1-7246-1,2.13,9.73
QG1-7246-1,2.6,9.898
QG1-7246-1,2.81,10.066
QG1-7246-1,2.76,10.234
QG1-7246-1,3.59,10.402
QG1-7246-1,3.07,10.57
QG1-7246-1,3.33,10.738
QG1-7246-1,2.93,11.527
QG1-7246-1,3.78,11.707
QG1-7246-1,3.43,11.887
QG1-7246-1,3.31,12.067
QG1-7246-1,2.98,12.247
QG1-7246-1,2.57,12.427
QG1-7246-1,2.65,12.607
QG1-7246-1,2.11,12.787
QG1-7246-1,2,12.967
QG1-7246-1,1.88,13.147
QG1-7246-1,2.45,13.327
QG1-7246-1,2.95,13.503
QG1-7246-1,3.54,13.679
QG1-7246-1,3.16,13.855
QG1-7246-1,2.41,14.031
QG1-7246-1,1.9,14.207
QG1-7246-1,1.88,14.383
QG1-7246-1,2.46,14.559
QG1-7246-1,3.16,14.735
QG1-7246-1,2.31,14.911
QG2-1061-1,2.66,0
QG2-1061-1,3.74,0.148
QG2-1061-1,3.63,0.296
QG2-1061-1,2.8,0.768
QG2-1061-1,2.21,1.254
QG2-1061-1,2.18,1.416
QG2-1061-1,2.14,1.578
QG2-1061-1,2.07,1.74
QG2-1061-1,1.88,1.902
QG2-1061-1,2.39,2.064
QG2-1061-1,1.97,2.226
QG2-1061-1,2.05,2.388
QG2-1061-1,2,2.55
QG2-1061-1,2.01,2.874
QG2-1061-1,2.35,3.036
QG2-1061-1,2.14,3.424
QG2-1061-1,2.55,3.618
QG2-1061-1,2.64,3.812
QG2-1061-1,2.73,4.006
QG2-1061-1,2.65,4.2
QG2-1061-1,2.72,4.394
QG2-1061-1,2.99,4.588
QG2-1061-1,2.93,4.782
QG2-1061-1,2.98,4.976
QG2-1061-1,2.92,5.17
QG2-1061-1,3.17,5.364
QG2-1061-1,3.48,5.668
QG2-1061-1,3.72,5.82
QG2-1061-1,3.66,5.972
QG2-1061-1,3.78,6.124
QG2-1061-1,3.62,6.276
QG2-1061-1,3.34,6.428
QG2-1061-1,3.07,6.58
QG2-1061-1,2.73,6.732
QG2-1061-1,2.52,6.884
QG2-1061-1,2.39,7.036
QG2-1061-1,2.26,7.188
QG2-1061-1,2.31,7.34
QG2-1061-1,1.86,7.644
QG2-1061-1,1.5,7.796
QG2-1061-1,1.92,7.978
QG2-1061-1,1.83,8.524
QG2-1061-1,2.18,9.252
QG2-1061-1,1.83,9.434
QG2-1061-1,1.85,9.616
QG2-1061-1,1.9,9.798
QG2-1061-1,2.09,9.98
QG2-1061-1,2.05,10.162
QG2-1061-1,2,10.344
QG2-1061-1,1.84,10.526
QG2-1061-1,2.13,10.702
QG2-1061-1,2.11,10.878
QG2-1061-1,2.2,11.054
QG2-1061-1,2.34,11.23
QG2-1061-1,2.38,11.406
QG2-1061-1,2.18,11.582
QG2-1061-1,2.22,11.758
QG2-1061-1,2.71,11.934
QG2-1061-1,2.8,12.252
QG2-1061-1,3.05,12.411
QG2-1061-1,3.15,12.729
QG2-1061-1,3.71,12.888
QG2-1061-1,3.56,13.206
QG2-1061-1,3.46,13.365
QG2-1061-1,3.47,13.683
QG2-1061-1,3.36,13.842
QG2-1061-1,3.36,14.001
QG2-1061-1,3.19,14.319
QG2-1061-1,3.06,14.478
QG2-1064-1,2.14,0
QG2-1064-1,2.11,0.1
QG2-1064-1,2.4,0.2
QG2-1064-1,2.21,0.3
QG2-1064-1,2.32,0.4
QG2-1064-1,2.44,0.5
QG2-1064-1,2.85,0.6
QG2-1064-1,2.78,0.7
QG2-1064-1,2.27,0.8
QG2-1064-1,2.05,0.9
QG2-1064-1,2.04,1
QG2-1064-1,1.95,1.1
QG2-1064-1,2.14,1.2
QG2-1064-1,2.84,1.494
QG2-1064-1,2.26,1.935
QG2-1064-1,2.07,2.075
QG2-1064-1,1.82,2.215
QG2-1064-1,1.9,2.355
QG2-1064-1,1.89,2.495
QG2-1064-1,1.92,2.635
QG2-1064-1,2.22,2.775
QG2-1064-1,2.33,2.915
QG2-1064-1,2.83,3.017
QG2-1064-1,3,3.119
QG2-1064-1,3.31,3.221
QG2-1064-1,3.25,3.323
QG2-1064-1,3.59,3.425
QG2-1064-1,3.64,3.629
QG2-1064-1,3.25,3.731
QG2-1064-1,3.11,3.833
QG2-1064-1,2.69,4.139
QG2-1064-1,2.56,4.241
QG2-1064-1,2.4,4.343
QG2-1064-1,2.37,4.445
QG2-1064-1,2.31,4.56
QG2-1064-1,1.93,4.675
QG2-1064-1,2.05,5.02
QG2-1064-1,2.01,5.135
QG2-1064-1,2,5.25
QG2-1064-1,2.2,5.365
QG2-1064-1,2.3,5.48
QG2-1064-1,2.28,5.595
QG2-1064-1,2.39,5.71
QG2-1064-1,2.58,5.825
QG2-1064-1,2.45,6.055
QG2-1064-1,2.55,6.17
QG2-1064-1,3.06,6.54
QG2-1064-1,3.35,6.68
QG2-1064-1,3.4,6.82
QG2-1064-1,3.4,6.96
QG2-1064-1,3.72,7.1
QG2-1064-1,3.25,7.24
QG2-1064-1,3.18,7.38
QG2-1064-1,2.9,7.52
QG2-1064-1,2.71,7.66
QG2-1064-1,2.75,7.8
QG2-1064-1,2.25,7.94
QG2-1064-1,2.14,8.08
QG2-1064-1,2.47,8.22
QG2-1064-1,1.95,8.5
QG2-1064-1,2.16,8.773
QG2-1064-1,1.97,9.039
QG2-1064-1,1.98,9.172
QG2-1064-1,1.84,9.305
QG2-1064-1,1.95,9.438
QG2-1064-1,2.17,9.571
QG2-1064-1,2.19,9.704
QG2-1064-1,2.65,9.97
QG2-1064-1,3.17,10.236
QG2-1064-1,3.29,10.369
QG2-1064-1,3.48,10.768
QG2-1064-1,3.5,10.901
QG2-1064-1,3.59,11.175
QG2-1064-1,2.86,11.312
QG2-1064-1,2.6,11.449
QG2-1064-1,2.27,11.586
QG2-1064-1,2.21,11.723
QG2-1064-1,2.1,11.86
QG2-1064-1,1.97,11.997
QG2-1064-1,1.88,12.134
QG2-1064-1,1.91,12.271
QG2-1064-1,2.85,12.408
QG2-1064-1,2.43,12.545
QG2-1064-1,2.4,12.682
QG2-1064-1,2.26,12.819
QG2-7180-1,1.48,0.066
QG2-7180-1,3.02,0.198
QG2-7180-1,2.98,0.33
QG2-7180-1,2.22,0.396
QG2-7180-1,2.24,0.479
QG2-7180-1,1.67,0.645
QG2-7180-1,1.74,0.73
QG2-7180-1,1.46,0.815
QG2-7180-1,1.82,0.918
QG2-7180-1,1.84,1.021
QG2-7180-1,1.78,1.124
QG2-7180-1,1.97,1.227
QG2-7180-1,1.97,1.33
QG2-7180-1,1.9,1.433
QG2-7180-1,1.92,1.536
QG2-7180-1,1.89,1.639
QG2-7180-1,2,1.742
QG2-7180-1,2.16,1.845
QG2-7180-1,2.09,1.948
QG2-7180-1,2.72,2.051
QG2-7180-1,2.87,2.154
QG2-7180-1,3.58,2.255
QG2-7180-1,3.33,2.356
QG2-7180-1,3.43,2.457
QG2-7180-1,3.16,2.558
QG2-7180-1,3.19,2.659
QG2-7180-1,2.8,2.76
QG2-7180-1,2.53,2.861
QG2-7180-1,2.21,2.962
QG2-7180-1,2.36,3.063
QG2-7180-1,2.19,3.164
QG2-7180-1,1.92,3.265
QG2-7180-1,1.98,3.366
QG2-7180-1,2.1,3.467
QG2-7180-1,2.1,3.568
QG2-7180-1,2.01,3.669
QG2-7180-1,1.98,3.77
QG2-7180-1,2.1,3.871
QG2-7180-1,1.65,3.972
QG2-7180-1,2.16,4.073
QG2-7180-1,2.41,4.174
QG2-7180-1,2.1,4.275
QG2-7180-1,2.59,4.376
QG2-7180-1,2.53,4.508
QG2-7180-1,2.5,4.64
QG2-7180-1,2.7,4.772
QG2-7180-1,2.84,4.904
QG2-7180-1,2.92,5.036
QG2-7180-1,2.8,5.168
QG2-7180-1,2.96,5.3
QG2-7180-1,3.32,5.432
QG2-7180-1,3.32,5.564
QG2-7180-1,3,5.834
QG2-7180-1,3.17,5.969
QG2-7180-1,3.12,6.104
QG2-7180-1,3.17,6.239
QG2-7180-1,2.45,6.374
QG2-7180-1,2.96,6.509
QG2-7180-1,3.22,6.644
QG2-7180-1,3.02,6.779
QG2-7180-1,2.55,6.914
QG2-7180-1,2.51,7.049
QG2-7180-1,2.29,7.184
QG2-7180-1,2.06,7.319
QG2-7180-1,1.98,7.454
QG2-7180-1,2.17,7.589
QG2-7180-1,1.55,7.724
QG2-7180-1,1.96,7.859
QG2-7180-1,1.789730612,7.924
QG2-7180-1,1.81,8.089
QG2-7180-1,2.14,8.254
QG2-7180-1,2.09,8.419
QG2-7180-1,2.13,8.749
QG2-7180-1,2.18,8.914
QG2-7180-1,2.16,9.079
QG2-7180-1,2.08,9.244
QG2-7180-1,2.3,9.409
QG2-7180-1,2.43,9.574
QG2-7180-1,2.4,9.739
QG2-7180-1,2.61,9.904
